timestamp_utc,Ticker,Sector,Rank_Score,Sector_Rank,Flow_Regime,Market_Risk_Mode,Buy_Ready,Buy_Block_Reasons,Outlook_Label,Outlook_Score,Liquidity_Regime,Sector_Momentum,Risk_Notes,Current_Price,Daily_Liquidity_EGP,Liquidity_Source,Liquidity_Spike,RSI,Support_20D,Resistance_20D,Support_Distance_%,Resistance_Distance_%,Technical_Source_Status
2026-09-08T11:15:09.431303+00:00,GIHD.CA,General / Verified EGX Expansion,32.26,16,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,76.39,ACCUMULATION_SPIKE,IMPROVING,far above support; sector is not leading,73.2,92418920.0,Mubasher delayed stock page,3.71,57.97,58.01,76.5,26.19,4.51,ALIGNED
2026-09-08T11:15:09.431303+00:00,ETEL.CA,Telecommunications,31.08,2,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,100.0,ACCUMULATION_SPIKE,LEADING,No major short-term scanner risk flags.,122.07,369282976.0,Mubasher delayed stock page,2.59,56.21,107.0,120.0,14.08,-1.7,ALIGNED
2026-09-08T11:15:09.431303+00:00,ACGC.CA,Textiles,30.9,1,MISSING,BROAD_RISK_ON,False,,BULLISH_WATCH,71.0,TRADEABLE,LEADING,overheated RSI; far above support,15.43,44680248.0,Mubasher delayed stock page,1.0,71.01,10.36,15.2,48.94,-1.49,ALIGNED
2026-09-08T11:15:09.431303+00:00,ORWE.CA,Textiles,30.9,1,MISSING,BROAD_RISK_ON,False,,BULLISH_WATCH,70.0,TRADEABLE,LEADING,liquidity is cooling; overheated RSI,28.26,26788142.0,Mubasher delayed stock page,0.28,71.72,24.5,29.41,15.35,4.07,ALIGNED
2026-09-08T11:15:09.431303+00:00,CANA.CA,Banking & Financials,29.9,5,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,67.31,TRADEABLE,IMPROVING,liquidity is cooling; momentum is extended; close to resistance,43.81,13602777.0,Mubasher delayed stock page,0.75,63.48,38.79,44.0,12.94,0.43,ALIGNED
2026-09-08T11:15:09.431303+00:00,COMI.CA,Banking & Financials,29.9,5,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,92.31,TRADEABLE,IMPROVING,No major short-term scanner risk flags.,139.64,430515072.0,Mubasher delayed stock page,0.81,58.65,135.35,142.5,3.17,2.05,ALIGNED
2026-09-08T11:15:09.431303+00:00,FWRY.CA,Fintech & Payments,29.9,11,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,73.12,TRADEABLE,IMPROVING,liquidity is cooling; close to resistance; sector is not leading,19.3,95551432.0,Mubasher delayed stock page,0.58,59.41,18.66,19.55,3.43,1.3,ALIGNED
2026-09-08T11:15:09.431303+00:00,CIEB.CA,Banking & Financials,29.9,5,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,78.31,TRADEABLE,IMPROVING,momentum is extended; close to resistance,25.8,12354624.0,Mubasher delayed stock page,0.8,63.16,24.0,26.27,7.5,1.82,ALIGNED
2026-09-08T11:15:09.431303+00:00,EXPA.CA,Banking & Financials,29.9,5,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,87.31,TRADEABLE,IMPROVING,liquidity is cooling,21.46,12988580.0,Mubasher delayed stock page,0.33,60.48,19.8,22.39,8.38,4.33,ALIGNED
2026-09-08T11:15:09.431303+00:00,MOIN.CA,General / Verified EGX Expansion,29.3,16,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,78.39,TRADEABLE,IMPROVING,far above support; sector is not leading,40.83,46260108.0,Mubasher delayed stock page,1.02,60.21,32.5,43.79,25.63,7.25,ALIGNED
2026-09-08T11:15:09.431303+00:00,FAIT.CA,Banking & Financials,29.28,5,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,74.31,TRADEABLE,IMPROVING,momentum is extended; far above support,47.74,9222160.0,Mubasher delayed stock page,1.08,63.38,37.01,46.0,28.99,-3.64,ALIGNED
2026-09-08T11:15:09.431303+00:00,KABO.CA,Textiles,28.9,1,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,68.0,TRADEABLE,LEADING,liquidity is cooling; overheated RSI,9.24,30749428.0,Mubasher delayed stock page,0.66,37.5,8.0,9.75,15.5,5.52,ALIGNED
2026-09-08T11:15:09.431303+00:00,ALCN.CA,Transportation & Logistics,28.86,3,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,96.0,TRADEABLE,LEADING,liquidity is cooling,32.0,9962087.0,Mubasher delayed stock page,0.29,60.53,30.03,34.18,6.56,6.81,ALIGNED
2026-09-08T11:15:09.431303+00:00,MCRO.CA,General / Verified EGX Expansion,28.44,16,MISSING,BROAD_RISK_ON,False,,CONSTRUCTIVE,66.39,ACCUMULATION_SPIKE,IMPROVING,overheated RSI; sector is not leading,1.67,181770752.0,Mubasher delayed stock page,1.59,70.73,1.44,1.74,15.97,4.19,ALIGNED
2026-09-08T11:15:09.431303+00:00,SWDY.CA,Industrial Goods & Cables,27.94,7,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,73.62,TRADEABLE,IMPROVING,momentum is extended; far above support,134.7,117307304.0,Mubasher delayed stock page,1.02,67.31,106.51,139.5,26.47,3.56,ALIGNED
2026-09-08T11:15:09.431303+00:00,EGCH.CA,Basic Resources & Chemicals,27.9,10,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,83.93,TRADEABLE,IMPROVING,sector is not leading,14.08,124731136.0,Mubasher delayed stock page,0.92,50.19,13.3,14.83,5.86,5.33,ALIGNED
2026-09-08T11:15:09.431303+00:00,MBSC.CA,Building Materials,27.9,4,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,70.0,TRADEABLE,IMPROVING,liquidity is cooling; far above support; high short-term volatility,411.48,10732049.0,Mubasher delayed stock page,0.11,52.03,254.37,470.0,61.76,14.22,ALIGNED
2026-09-08T11:15:09.431303+00:00,RUBX.CA,General / Verified EGX Expansion,27.84,16,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,70.39,ACCUMULATION_SPIKE,IMPROVING,overheated RSI; sector is not leading,13.04,40541668.0,Mubasher delayed stock page,2.29,37.46,12.2,13.94,6.89,6.9,ALIGNED
2026-09-08T11:15:09.431303+00:00,TMGH.CA,Real Estate,27.5,15,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,70.0,TRADEABLE,IMPROVING,liquidity is cooling; momentum is extended; sector is not leading,98.6,160875056.0,Mubasher delayed stock page,0.58,68.42,94.9,100.9,3.9,2.33,ALIGNED
2026-09-08T11:15:09.431303+00:00,ORHD.CA,Real Estate,27.5,15,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,78.0,TRADEABLE,IMPROVING,liquidity is cooling; sector is not leading,42.3,91260696.0,Mubasher delayed stock page,0.64,53.53,40.28,43.57,5.01,3.0,ALIGNED
2026-09-08T11:15:09.431303+00:00,ARAB.CA,Real Estate,27.5,15,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,61.0,TRADEABLE,IMPROVING,momentum is extended; sector is not leading,0.26,84545304.0,Mubasher delayed stock page,0.88,64.41,0.23,0.27,13.04,3.85,ALIGNED
2026-09-08T11:15:09.431303+00:00,COSG.CA,General / Verified EGX Expansion,27.26,16,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,63.39,TRADEABLE,IMPROVING,liquidity is cooling; momentum is extended; sector is not leading,1.92,15470454.0,Mubasher delayed stock page,0.27,66.67,1.69,2.0,13.61,4.17,ALIGNED
2026-09-08T11:15:09.431303+00:00,ELKA.CA,General / Verified EGX Expansion,27.26,16,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,67.39,TRADEABLE,IMPROVING,liquidity is cooling; momentum is extended; sector is not leading,1.82,14566901.0,Mubasher delayed stock page,0.22,64.58,1.7,1.99,7.06,9.34,ALIGNED
2026-09-08T11:15:09.431303+00:00,NCCW.CA,General / Verified EGX Expansion,27.26,16,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,69.39,TRADEABLE,IMPROVING,liquidity is cooling; sector is not leading,6.37,18202204.0,Mubasher delayed stock page,0.63,54.34,5.59,6.75,13.95,5.97,ALIGNED
2026-09-08T11:15:09.431303+00:00,RACC.CA,General / Verified EGX Expansion,27.26,16,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,80.39,TRADEABLE,IMPROVING,sector is not leading,10.13,20818210.0,Mubasher delayed stock page,0.83,46.97,9.4,10.88,7.77,7.4,ALIGNED
2026-09-08T11:15:09.431303+00:00,POUL.CA,"Food, Beverages & Tobacco",27.07,17,MISSING,BROAD_RISK_ON,True,,CONSTRUCTIVE,68.92,TRADEABLE,IMPROVING,liquidity is cooling; sector is not leading,38.84,10305820.0,Mubasher delayed stock page,0.43,59.81,36.97,40.69,5.06,4.76,ALIGNED
2026-09-08T11:15:09.431303+00:00,ELSH.CA,General / Verified EGX Expansion,26.84,16,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,92.39,ACCUMULATION_SPIKE,IMPROVING,sector is not leading,13.78,77518040.0,Mubasher delayed stock page,1.79,47.04,12.97,14.56,6.25,5.66,ALIGNED
2026-09-08T11:15:09.431303+00:00,ASCM.CA,General / Verified EGX Expansion,26.8,16,MISSING,BROAD_RISK_ON,True,,BULLISH_WATCH,92.39,ACCUMULATION_SPIKE,IMPROVING,sector is not leading,64.81,54231624.0,Mubasher delayed stock page,1.77,43.36,62.01,69.34,4.52,6.99,ALIGNED
2026-09-08T11:15:09.431303+00:00,CCAP.CA,Investment Holding,26.76,6,MISSING,BROAD_RISK_ON,False,,CONSTRUCTIVE,55.98,TRADEABLE,IMPROVING,overheated RSI,6.18,919050176.0,Mubasher delayed stock page,1.43,74.29,5.18,6.16,19.31,-0.32,ALIGNED
